0,1,2,3,4,5
Karnataka,Uttara Kannada - 12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,337428,1262761
Kerala,Alappuzha - 15,K. C VENUGOPAL,Indian National Congress,63513,1058703
Kerala,Alathur  - 9,K.RADHAKRISHNAN,Communist Party of India  (Marxist),20111,992268
Kerala,Attingal - 19,ADV ADOOR PRAKASH,Indian National Congress,684,985341
Kerala,Chalakudy - 11,BENNY BEHANAN,Indian National Congress,63754,951287
Kerala,Ernakulam - 12,HIBI EDEN,Indian National Congress,250385,910502
Kerala,Idukki - 13,ADV. DEAN KURIAKOSE,Indian National Congress,133727,840657
Kerala,Kannur - 2,K. SUDHAKARAN,Indian National Congress,108982,1063855
Kerala,Kasaragod - 1,RAJMOHAN UNNITHAN,Indian National Congress,100649,1112546
Kerala,Kollam - 18,N K PREMACHANDRAN,Revolutionary Socialist Party,150302,915691
Kerala,Kottayam - 14,ADV K FRANCIS GEORGE,Kerala Congress,87266,836223
Kerala,Kozhikode - 5,M. K. RAGHAVAN,Indian National Congress,146176,1090050
Kerala,Malappuram - 6,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,300118,1085182
Kerala,Mavelikkara  - 16,KODIKUNNIL SURESH,Indian National Congress,10868,894971
Kerala,Palakkad - 8,V K SREEKANDAN,Indian National Congress,75283,1035836
Kerala,Pathanamthitta - 17,ANTO ANTONY,Indian National Congress,66119,919569
Kerala,Ponnani - 7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,235760,1026296
Kerala,Thiruvananthapuram - 20,SHASHI THAROOR,Indian National Congress,16077,962983
Kerala,Thrissur - 10,SURESH GOPI,Bharatiya Janata Party,74686,1090876
Kerala,Vadakara - 3,SHAFI PARAMBIL,Indian National Congress,114506,1122947
Kerala,Wayanad - 4,RAHUL GANDHI,Indian National Congress,364422,1084653
Ladakh,Ladakh - 1,MOHMAD HANEEFA,Independent,27862,135524
Lakshadweep,Lakshadweep - 1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,2647,49200
Madhya Pradesh,BALAGHAT - 15,BHARTI PARDHI,Bharatiya Janata Party,174512,1382280
Madhya Pradesh,BETUL - 29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,379761,1396020
Madhya Pradesh,BHIND - 2,SANDHYA RAY,Bharatiya Janata Party,64840,1049007
Madhya Pradesh,BHOPAL - 19,ALOK SHARMA,Bharatiya Janata Party,501499,1498285
Madhya Pradesh,CHHINDWARA - 16,BUNTY VIVEK SAHU,Bharatiya Janata Party,113618,1304827
Madhya Pradesh,DAMOH - 7,RAHUL SINGH LODHI,Bharatiya Janata Party,406426,1088944
Madhya Pradesh,DEWAS - 21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,425225,1469104
Madhya Pradesh,DHAR - 25,SAVITRI THAKUR,Bharatiya Janata Party,218665,1425044
Madhya Pradesh,GUNA - 4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,540929,1373766
Madhya Pradesh,GWALIOR - 3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,70210,1343229
Madhya Pradesh,HOSHANGABAD - 17,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,431696,1249692
Madhya Pradesh,INDORE - 26,SHANKAR LALWANI,Bharatiya Janata Party,1175092,1561968
Madhya Pradesh,JABALPUR - 13,ASHISH DUBEY,Bharatiya Janata Party,486674,1158545
Madhya Pradesh,KHAJURAHO - 8,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,541229,1140570
Madhya Pradesh,KHANDWA - 28,GYANESHWAR PATIL,Bharatiya Janata Party,269971,1512542
